romaneio_prolog,clientes_locais,n_clientes,demanda_kg,volumes,valor_rs,rota_prolog
PRL204937-6,[37],1,11.64,3.0,608.0,RT ZONA OESTE
PRL204941-4,"[23, 30]",2,2.708,3.0,455.08000000000004,RT ZONA NORTE
PRL204943-1,[4],1,2.04,3.0,866.81,RT BAIXADA
PRL204947-3,"[6, 21]",2,52.369,14.0,3109.2799999999997,RT ZONA OESTE
PRL204950-3,[7],1,10.74,4.0,2190.51,RT MAGÉ
PRL204953-8,"[17, 18]",2,4.404,2.0,653.3,RT ZONA NORTE
PRL204954-6,"[13, 16, 40]",3,52.55,12.0,4148.35,RT BAIXADA
PRL204968-6,"[27, 31]",2,25.93,18.0,5803.47,RT ZONA NORTE
PRL204973-2,"[10, 11]",2,19.090999999999998,5.0,1364.98,RT ZONA NORTE
PRL204984-8,[12],1,183.03900000000002,3.0,627.56,RT ZONA NORTE
PRL204997-0,"[3, 9]",2,276.596,58.0,8557.95,RT ZONA OESTE
PRL204998-8,"[33, 36]",2,84.102,20.0,4775.01,RT BAIXADA
PRL205004-8,"[20, 39]",2,1.677,5.0,703.17,RT BAIXADA
PRL205009-9,[34],1,3.137,2.0,724.45,RT ZONA NORTE
PRL205013-7,"[5, 29]",2,7.846,6.0,961.81,RT CENTRO | RT ZONA SUL
PRL205014-5,[26],1,0.075,1.0,469.38,RT ZONA NORTE
PRL205017-0,"[1, 8]",2,17.54,12.0,2085.42,RT BAIXADA
PRL205019-6,[14],1,19.519000000000002,8.0,1828.25,RT ZONA OESTE
PRL205025-1,[22],1,3.3529999999999998,2.0,729.48,RT ZONA NORTE
PRL205029-3,"[25, 35]",2,19.979999999999997,9.0,2537.94,RT ZONA NORTE
PRL205043-9,"[2, 15, 19]",3,33.44,12.0,3270.6099999999997,RT BAIXADA 2
PRL205045-5,[24],1,15.36,4.0,345.08,RT BAIXADA 1
PRL205048-0,"[28, 32, 38]",3,15.982000000000003,11.0,4871.24,RT BAIXADA 1
